% time spent exploring,episodes,mean 100 episode reward,steps
63,100,-375.3,37211
46,200,-167.9,54101
33,300,-138.1,68012
22,400,-109.0,79016
13,500,-95.8,88698
4,600,-86.2,97415
2,700,-82.1,105722
2,800,-85.8,114405
2,900,-81.9,122691
2,1000,-81.5,130938
2,1100,-83.4,139376
2,1200,-82.0,147675
2,1300,-75.7,155346
2,1400,-73.5,162800
2,1500,-80.4,170940
2,1600,-76.4,178678
2,1700,-72.3,186004
2,1800,-70.8,193179
2,1900,-70.4,200320
2,2000,-69.3,207346
2,2100,-71.4,214581
2,2200,-68.3,221509
2,2300,-69.5,228559
2,2400,-69.5,235607
2,2500,-70.0,242706
2,2600,-68.2,249623
2,2700,-70.3,256755
2,2800,-67.6,263617
2,2900,-67.9,270505
2,3000,-66.3,277239
2,3100,-68.2,284157
2,3200,-67.6,291022
2,3300,-67.0,297818
2,3400,-66.2,304539
2,3500,-66.5,311287
2,3600,-68.7,318257
2,3700,-68.6,325215
2,3800,-66.8,331994
2,3900,-67.1,338800
2,4000,-64.8,345378
2,4100,-67.4,352215
2,4200,-69.2,359236
2,4300,-64.5,365785
2,4400,-64.3,372315
2,4500,-65.5,378967
2,4600,-64.3,385493
2,4700,-65.3,392126
2,4800,-65.2,398749
2,4900,-67.1,405560
2,5000,-65.6,412218
2,5100,-67.4,419062
2,5200,-67.2,425885
2,5300,-65.4,432524
2,5400,-66.6,439284
2,5500,-67.2,446100
2,5600,-65.0,452699
2,5700,-64.1,459213
2,5800,-68.6,466169
2,5900,-63.8,472645
2,6000,-64.4,479188
2,6100,-65.7,485856
2,6200,-68.1,492764
2,6300,-66.6,499521
2,6400,-67.4,506365
2,6500,-65.6,513020
2,6600,-69.5,520071
2,6700,-66.8,526850
2,6800,-66.4,533585
2,6900,-65.2,540203
2,7000,-64.8,546787
2,7100,-63.7,553260
2,7200,-64.7,559828
2,7300,-65.4,566465
2,7400,-67.0,573260
2,7500,-67.8,580142
2,7600,-65.5,586794
2,7700,-66.6,593559
2,7800,-65.0,600156
2,7900,-65.0,606758
2,8000,-65.5,613409
2,8100,-64.8,619990
2,8200,-65.5,626644
2,8300,-63.9,633131
2,8400,-64.9,639717
2,8500,-68.1,646623
2,8600,-65.3,653256
2,8700,-64.6,659815
2,8800,-67.5,666661
2,8900,-65.0,673256
2,9000,-65.1,679867
2,9100,-66.4,686609
2,9200,-63.6,693069
2,9300,-64.8,699645
2,9400,-65.3,706278
2,9500,-64.9,712867
2,9600,-68.4,719812
2,9700,-66.4,726555
2,9800,-66.3,733287
2,9900,-65.8,739968
2,10000,-65.1,746576
2,10100,-65.3,753202
2,10200,-65.7,759868
2,10300,-65.4,766505
2,10400,-65.2,773128
2,10500,-67.5,779977
2,10600,-65.5,786627
2,10700,-64.6,793186
2,10800,-67.3,800015
2,10900,-66.2,806738
2,11000,-65.6,813401
2,11100,-66.3,820130
2,11200,-67.0,826934
2,11300,-64.9,833524
2,11400,-65.8,840200
2,11500,-66.8,846975
2,11600,-65.8,853656
2,11700,-67.2,860480
2,11800,-66.8,867263
2,11900,-66.2,873981
2,12000,-66.1,880693
2,12100,-65.7,887363
2,12200,-65.0,893958
2,12300,-64.0,900461
2,12400,-64.0,906956
2,12500,-63.8,913432
2,12600,-65.9,920121
2,12700,-64.4,926662
2,12800,-64.3,933188
2,12900,-65.0,939784
2,13000,-66.5,946536
2,13100,-66.3,953267
2,13200,-63.8,959752
2,13300,-66.5,966500
2,13400,-63.7,972967
2,13500,-65.1,979580
2,13600,-65.4,986220
2,13700,-64.0,992723
2,13800,-66.6,999478
